Datetime,Open,High,Low,Close,Volume
2020-01-21 02:55:00,1.10931,1.10933,1.1092,1.10924,125
2020-01-21 03:00:00,1.10925,1.10931,1.10914,1.10919,163
2020-01-21 03:05:00,1.10921,1.10921,1.10914,1.10917,82
2020-01-21 03:10:00,1.10917,1.10921,1.109,1.10901,91
2020-01-21 03:15:00,1.109,1.10912,1.10888,1.10901,264
2020-01-21 03:20:00,1.109,1.10923,1.109,1.10911,265
2020-01-21 03:25:00,1.10912,1.10912,1.10901,1.10904,127
2020-01-21 03:30:00,1.10905,1.10915,1.10897,1.10915,206
2020-01-21 03:35:00,1.10915,1.10916,1.10905,1.10914,204
2020-01-21 03:40:00,1.10913,1.10918,1.10904,1.10906,180
2020-01-21 03:45:00,1.10906,1.10908,1.10896,1.10899,178
2020-01-21 03:50:00,1.109,1.10917,1.10898,1.10911,225
2020-01-21 03:55:00,1.10909,1.10917,1.10904,1.10906,136
2020-01-21 04:00:00,1.10906,1.10933,1.10906,1.1093,181
2020-01-21 04:05:00,1.1093,1.10943,1.10927,1.10943,97
2020-01-21 04:10:00,1.10944,1.10948,1.10936,1.10948,136
2020-01-21 04:15:00,1.10947,1.1096,1.10944,1.10959,117
2020-01-21 04:20:00,1.10959,1.10965,1.10953,1.10954,131
2020-01-21 04:25:00,1.10953,1.10958,1.10943,1.10943,103
